





"Day,New_Users"
"2/1/23,""2,000"""
"2/2/23,""1,919"""
"2/3/23,""1,574"""
"2/4/23,""1,401"""
"2/5/23,""1,425"""
"2/6/23,""1,890"""
"2/7/23,""2,161"""
"2/8/23,""1,892"""
"2/9/23,""1,911"""
"2/10/23,""1,651"""
"2/11/23,""1,137"""
"2/12/23,""1,165"""
"2/13/23,""1,720"""
"2/14/23,""1,548"""
"2/15/23,""1,738"""
"2/16/23,""1,774"""
"2/17/23,""1,468"""
"2/18/23,""1,155"""
"2/19/23,""1,307"""
"2/20/23,""1,599"""
"2/21/23,""1,669"""
"2/22/23,""1,864"""
"2/23/23,""1,810"""
"2/24/23,""1,456"""
"2/25/23,""1,100"""
"2/26/23,""1,283"""
"2/27/23,""1,629"""
"2/28/23,""1,860"""
"3/1/23,""1,594"""
"3/2/23,""1,608"""
"3/3/23,""1,521"""
"3/4/23,""1,109"""
"3/5/23,""1,024"""
"3/6/23,""1,661"""
"3/7/23,""1,647"""
"3/8/23,""1,568"""
"3/9/23,""1,506"""
"3/10/23,""1,537"""
"3/11/23,""1,198"""
"3/12/23,956"
"3/13/23,""1,701"""
"3/14/23,""1,802"""
"3/15/23,""1,542"""
"3/16/23,""1,587"""
"3/17/23,""1,359"""
"3/18/23,928"
"3/19/23,983"
"3/20/23,""1,562"""
"3/21/23,""1,872"""
"3/22/23,""1,653"""
"3/23/23,""1,745"""
"3/24/23,""1,393"""
"3/25/23,914"
"3/26/23,971"
"3/27/23,""1,638"""
"3/28/23,""1,663"""
"3/29/23,""1,559"""
"3/30/23,""1,745"""
"3/31/23,""1,327"""
"4/1/23,895"
"4/2/23,904"
"4/3/23,""1,492"""
"4/4/23,""1,867"""
"4/5/23,""3,445"""
"4/6/23,""2,289"""
"4/7/23,""2,017"""
"4/8/23,""1,814"""
"4/9/23,""1,901"""
"4/10/23,""2,822"""
"4/11/23,""2,341"""
"4/12/23,""2,692"""
"4/13/23,""2,004"""
"4/14/23,""2,277"""
"4/15/23,""1,734"""
"4/16/23,""1,226"""
"4/17/23,""1,735"""
"4/18/23,""2,394"""
"4/19/23,""1,862"""
"4/20/23,""2,130"""
"4/21/23,""2,376"""
"4/22/23,""1,274"""
"4/23/23,""1,758"""
"4/24/23,""2,242"""
"4/25/23,""2,390"""
"4/26/23,""2,128"""
"4/27/23,""1,962"""
"4/28/23,""1,611"""
"4/29/23,""1,164"""
"4/30/23,""1,165"""
"5/1/23,""1,661"""
"5/2/23,""2,150"""
"5/3/23,""1,868"""
"5/4/23,""1,938"""
"5/5/23,""1,849"""
"5/6/23,""1,536"""
"5/7/23,""1,526"""
"5/8/23,""2,573"""
"5/9/23,""2,401"""
"5/10/23,""2,609"""
"5/11/23,""2,414"""
"5/12/23,""1,774"""
"5/13/23,""1,158"""
"5/14/23,""1,283"""
"5/15/23,""1,917"""
"5/16/23,""1,853"""
"5/17/23,""1,910"""
"5/18/23,""1,999"""
"5/19/23,""1,675"""
"5/20/23,""1,128"""
"5/21/23,""1,256"""
"5/22/23,""2,162"""
"5/23/23,""2,649"""
"5/24/23,""2,321"""
"5/25/23,""1,928"""
"5/26/23,""1,628"""
"5/27/23,""1,085"""
"5/28/23,""1,160"""
"5/29/23,""1,445"""
"5/30/23,""1,972"""
"5/31/23,""1,912"""
"6/1/23,""2,629"""
"6/2/23,""2,525"""
"6/3/23,""1,690"""
"6/4/23,""1,531"""
"6/5/23,""1,901"""
"6/6/23,""1,879"""
"6/7/23,""1,983"""
"6/8/23,""1,920"""
"6/9/23,""2,290"""
"6/10/23,""1,501"""
"6/11/23,""1,098"""
"6/12/23,""1,849"""
"6/13/23,""1,681"""
"6/14/23,""1,617"""
"6/15/23,""1,706"""
"6/16/23,""2,720"""
"6/17/23,""2,015"""
"6/18/23,""2,745"""
"6/19/23,""2,026"""
"6/20/23,""3,221"""
"6/21/23,""4,195"""
"6/22/23,""1,893"""
"6/23/23,""1,772"""
"6/24/23,""1,719"""
"6/25/23,""1,841"""
"6/26/23,""2,046"""
"6/27/23,""2,683"""
"6/28/23,""2,206"""
"6/29/23,""2,362"""
"6/30/23,""2,521"""



