





"Day,Pageviews"
"2/1/23,""9,470"""
"2/2/23,""10,116"""
"2/3/23,""8,886"""
"2/4/23,""5,025"""
"2/5/23,""5,339"""
"2/6/23,""11,563"""
"2/7/23,""11,324"""
"2/8/23,""10,066"""
"2/9/23,""10,212"""
"2/10/23,""9,516"""
"2/11/23,""5,435"""
"2/12/23,""5,532"""
"2/13/23,""9,860"""
"2/14/23,""9,154"""
"2/15/23,""10,178"""
"2/16/23,""10,179"""
"2/17/23,""8,210"""
"2/18/23,""4,853"""
"2/19/23,""5,487"""
"2/20/23,""8,277"""
"2/21/23,""10,117"""
"2/22/23,""10,635"""
"2/23/23,""9,883"""
"2/24/23,""8,789"""
"2/25/23,""5,649"""
"2/26/23,""5,874"""
"2/27/23,""9,925"""
"2/28/23,""10,287"""
"3/1/23,""9,257"""
"3/2/23,""10,602"""
"3/3/23,""9,541"""
"3/4/23,""6,087"""
"3/5/23,""5,472"""
"3/6/23,""8,962"""
"3/7/23,""11,096"""
"3/8/23,""10,138"""
"3/9/23,""10,704"""
"3/10/23,""8,820"""
"3/11/23,""5,189"""
"3/12/23,""4,959"""
"3/13/23,""10,816"""
"3/14/23,""10,781"""
"3/15/23,""9,638"""
"3/16/23,""10,341"""
"3/17/23,""7,844"""
"3/18/23,""4,615"""
"3/19/23,""5,519"""
"3/20/23,""10,128"""
"3/21/23,""10,576"""
"3/22/23,""10,034"""
"3/23/23,""9,919"""
"3/24/23,""7,913"""
"3/25/23,""5,515"""
"3/26/23,""5,434"""
"3/27/23,""10,020"""
"3/28/23,""9,762"""
"3/29/23,""9,089"""
"3/30/23,""10,150"""
"3/31/23,""8,170"""
"4/1/23,""4,845"""
"4/2/23,""4,887"""
"4/3/23,""9,161"""
"4/4/23,""10,240"""
"4/5/23,""14,374"""
"4/6/23,""11,545"""
"4/7/23,""10,000"""
"4/8/23,""7,192"""
"4/9/23,""7,350"""
"4/10/23,""13,294"""
"4/11/23,""15,950"""
"4/12/23,""13,974"""
"4/13/23,""11,805"""
"4/14/23,""11,067"""
"4/15/23,""6,840"""
"4/16/23,""6,080"""
"4/17/23,""10,389"""
"4/18/23,""13,072"""
"4/19/23,""10,842"""
"4/20/23,""11,671"""
"4/21/23,""11,755"""
"4/22/23,""6,512"""
"4/23/23,""8,204"""
"4/24/23,""11,950"""
"4/25/23,""11,904"""
"4/26/23,""12,029"""
"4/27/23,""11,136"""
"4/28/23,""9,816"""
"4/29/23,""6,534"""
"4/30/23,""5,904"""
"5/1/23,""10,013"""
"5/2/23,""12,875"""
"5/3/23,""11,421"""
"5/4/23,""11,427"""
"5/5/23,""10,115"""
"5/6/23,""6,477"""
"5/7/23,""6,786"""
"5/8/23,""13,620"""
"5/9/23,""13,225"""
"5/10/23,""15,178"""
"5/11/23,""14,196"""
"5/12/23,""10,626"""
"5/13/23,""6,489"""
"5/14/23,""6,890"""
"5/15/23,""11,977"""
"5/16/23,""10,941"""
"5/17/23,""11,244"""
"5/18/23,""12,205"""
"5/19/23,""10,235"""
"5/20/23,""5,744"""
"5/21/23,""6,165"""
"5/22/23,""11,843"""
"5/23/23,""12,991"""
"5/24/23,""11,876"""
"5/25/23,""10,896"""
"5/26/23,""9,369"""
"5/27/23,""5,465"""
"5/28/23,""5,359"""
"5/29/23,""6,468"""
"5/30/23,""11,153"""
"5/31/23,""11,412"""
"6/1/23,""15,844"""
"6/2/23,""12,950"""
"6/3/23,""6,680"""
"6/4/23,""7,220"""
"6/5/23,""11,426"""
"6/6/23,""10,848"""
"6/7/23,""12,586"""
"6/8/23,""10,722"""
"6/9/23,""10,973"""
"6/10/23,""6,194"""
"6/11/23,""5,479"""
"6/12/23,""11,177"""
"6/13/23,""10,718"""
"6/14/23,""10,527"""
"6/15/23,""11,335"""
"6/16/23,""11,308"""
"6/17/23,""6,648"""
"6/18/23,""8,497"""
"6/19/23,""8,729"""
"6/20/23,""14,733"""
"6/21/23,""18,887"""
"6/22/23,""11,407"""
"6/23/23,""9,720"""
"6/24/23,""6,715"""
"6/25/23,""6,472"""
"6/26/23,""9,705"""
"6/27/23,""15,018"""
"6/28/23,""10,874"""
"6/29/23,""12,460"""
"6/30/23,""10,502"""
",""1,438,289"""

