





"Day,Pages_Session"
"2/1/23,3.33"
"2/2/23,3.69"
"2/3/23,3.97"
"2/4/23,2.93"
"2/5/23,2.96"
"2/6/23,4.18"
"2/7/23,3.78"
"2/8/23,3.72"
"2/9/23,3.65"
"2/10/23,4.05"
"2/11/23,3.73"
"2/12/23,3.56"
"2/13/23,4.05"
"2/14/23,4.10"
"2/15/23,3.99"
"2/16/23,3.95"
"2/17/23,3.93"
"2/18/23,3.29"
"2/19/23,3.30"
"2/20/23,3.78"
"2/21/23,4.11"
"2/22/23,4.01"
"2/23/23,3.81"
"2/24/23,4.07"
"2/25/23,4.00"
"2/26/23,3.50"
"2/27/23,3.90"
"2/28/23,3.89"
"3/1/23,3.89"
"3/2/23,4.51"
"3/3/23,4.27"
"3/4/23,4.04"
"3/5/23,3.77"
"3/6/23,3.67"
"3/7/23,4.49"
"3/8/23,4.14"
"3/9/23,4.55"
"3/10/23,3.95"
"3/11/23,3.41"
"3/12/23,3.74"
"3/13/23,4.31"
"3/14/23,4.11"
"3/15/23,4.06"
"3/16/23,4.35"
"3/17/23,3.87"
"3/18/23,3.79"
"3/19/23,3.95"
"3/20/23,4.30"
"3/21/23,3.96"
"3/22/23,3.97"
"3/23/23,3.96"
"3/24/23,3.86"
"3/25/23,4.31"
"3/26/23,3.89"
"3/27/23,4.08"
"3/28/23,3.97"
"3/29/23,3.92"
"3/30/23,4.06"
"3/31/23,4.10"
"4/1/23,4.16"
"4/2/23,3.91"
"4/3/23,4.09"
"4/4/23,3.88"
"4/5/23,3.40"
"4/6/23,3.81"
"4/7/23,3.88"
"4/8/23,3.32"
"4/9/23,3.18"
"4/10/23,3.66"
"4/11/23,4.64"
"4/12/23,3.88"
"4/13/23,4.07"
"4/14/23,3.63"
"4/15/23,3.20"
"4/16/23,3.75"
"4/17/23,4.12"
"4/18/23,4.04"
"4/19/23,4.02"
"4/20/23,4.03"
"4/21/23,3.79"
"4/22/23,3.92"
"4/23/23,3.54"
"4/24/23,3.80"
"4/25/23,3.62"
"4/26/23,4.01"
"4/27/23,3.96"
"4/28/23,4.28"
"4/29/23,4.05"
"4/30/23,3.56"
"5/1/23,4.06"
"5/2/23,4.02"
"5/3/23,4.07"
"5/4/23,4.02"
"5/5/23,3.89"
"5/6/23,3.27"
"5/7/23,3.37"
"5/8/23,3.93"
"5/9/23,3.87"
"5/10/23,4.09"
"5/11/23,4.05"
"5/12/23,4.01"
"5/13/23,4.03"
"5/14/23,3.76"
"5/15/23,4.09"
"5/16/23,4.08"
"5/17/23,4.08"
"5/18/23,4.22"
"5/19/23,4.40"
"5/20/23,3.94"
"5/21/23,3.67"
"5/22/23,3.86"
"5/23/23,3.61"
"5/24/23,3.76"
"5/25/23,3.92"
"5/26/23,4.08"
"5/27/23,3.83"
"5/28/23,3.56"
"5/29/23,3.33"
"5/30/23,3.97"
"5/31/23,4.18"
"6/1/23,4.26"
"6/2/23,3.89"
"6/3/23,3.29"
"6/4/23,3.71"
"6/5/23,4.19"
"6/6/23,4.09"
"6/7/23,4.36"
"6/8/23,3.93"
"6/9/23,3.74"
"6/10/23,3.32"
"6/11/23,3.77"
"6/12/23,4.20"
"6/13/23,4.39"
"6/14/23,4.42"
"6/15/23,4.42"
"6/16/23,3.30"
"6/17/23,2.77"
"6/18/23,2.66"
"6/19/23,3.32"
"6/20/23,3.57"
"6/21/23,3.61"
"6/22/23,4.06"
"6/23/23,3.91"
"6/24/23,3.20"
"6/25/23,2.90"
"6/26/23,3.50"
"6/27/23,3.92"
"6/28/23,3.67"
"6/29/23,3.82"
"6/30/23,3.24"
",3.86"

