Title,Date,Link,Author,Views
"Кінець ""Епохи бідності"". Турборежим в Раді. Коронавірус. Велика війна з РФ. 5 років ЗЕ!ПРЕЗИДЕНСТВА",20:34,/news/2024/05/23/7457330/,,
У Єгипті знайшли папіруси – унікальний доказ присутності римських військових,20:21,https://life.pravda.com.ua/society/arheologi-znayshli-dokazi-dislokaciji-rimskih-viyskovih-v-odnomu-iz-starodavnih-portiv-301704/,,
У Польщі усе важче знайти сезонних працівників: одна з причин - українці їдуть далі на захід,20:20,https://www.epravda.com.ua/news/2024/05/23/714151/,Віктор Волокіта,1218 переглядів
СПЕЦПРОЄКТЗелений перехід: коли українці пересядуть на електромобілі,,https://www.epravda.com.ua/cdn/cd1/2024/peresiadut_na_elektromobili/,,
фотоКількість постраждалих від російського удару по друкарні в Харкові зросла до 21,20:07,/news/2024/05/23/7457326/,,
"фото, відеоВ Україну з допомогою Катару повернули ще 13 дітей",20:07,https://life.pravda.com.ua/society/ukrajina-vivezla-z-okupaciji-ta-rf-13-ditey-301707/,,
"Окупанти здійснили понад 50 атак, найбільше на Куп’янському та Покровському напрямках – Генштаб",20:04,/news/2024/05/23/7457327/,,
"хокейКанада розгромила Словаччину, Швейцарія здолала Німеччину в чвертьфіналі чемпіонату світу",19:55,https://champion.com.ua/ukr/ice-hockey/rezultati-1-4-finalu-chs-peremogi-kanadi-ta-shveycariji-1001076/,,
Google дозволив ділитися паролями з членами родини,19:47,https://www.epravda.com.ua/news/2024/05/23/714148/,Анастасія Дячкіна,593 перегляди
Нападник на Фіцо пояснив свій вчинок: хотів змінити політику Словаччини щодо України,19:35,/news/2024/05/23/7457322/,,
У Києві обмежать рух транспорту на 2-х вулицях Дніпровського району,19:34,https://www.epravda.com.ua/news/2024/05/23/714146/,Віктор Волокіта,1028 переглядів
Бійці 110-ї бригади збили російський штурмовик Су-25,19:30,/news/2024/05/23/7457320/,,
"Шмигаль зустрівся з місією МВФ: новий перегляд програми дозволить залучити $2,2 мільярда",19:10,https://www.epravda.com.ua/news/2024/05/23/714147/,Олексій Павлиш,351 перегляд
"На фронті загинув грузинський доброволець, футболіст ""Колосу"" Серго Горнакашвілі",19:02,/news/2024/05/23/7457318/,,
тенісРолан Гаррос: українки дізналися про суперниць в основній сітці турніру,19:01,https://champion.com.ua/ukr/tennis/viznachilis-supernici-ukrajinskih-tenisistok-v-osnovniy-sitci-rolan-garros-1001060/,,
Зеленський провів Ставку: Росія хоче зірвати саміт миру,18:56,/news/2024/05/23/7457317/,,
Західні посли долучилися до флешмобу підтримки видавництва Vivat після влучання,18:48,https://www.eurointegration.com.ua/news/2024/05/23/7186624/,Марія Ємець,
24 травня графіки відключення світла по всій Україні діятимуть протягом доби,18:37,https://www.epravda.com.ua/news/2024/05/23/714149/,Анастасія Дячкіна,12894 перегляди
"""Альтернативу для Німеччини"" виключили з ультраправої групи Європарламенту",18:34,/news/2024/05/23/7457314/,,
"У ПЦУ запевнили, що відмова бути хрещеними для дитини не вважається гріхом",18:26,https://life.pravda.com.ua/society/vidmova-stati-hreshchenimi-batkami-ditini-ne-ye-grihom-301702/,,
велоспортМерлір виграв спринт на 18 етапі Джиро д'Італія,18:25,https://champion.com.ua/ukr/velosport/merlir-virvav-peremogu-v-milana-na-18-etapi-dzhiro-d-italiya-2024-1001071/,,
